[2025-10-03 15:34:04,540.540] WARNING  [MainThread|MainProcess] Config (config.py:create_from_file:322) | 配置文件未找到
[2025-10-03 15:34:04,540.540] ERROR    [MainThread|MainProcess] Config (config.py:load:401) | 加载配置失败: [setting] 配置文件不存在！
[2025-10-03 15:34:05,068.068] INFO     [MainThread|MainProcess] faiss.loader (loader.py:<module>:154) | Loading faiss.
[2025-10-03 15:34:05,093.093] INFO     [MainThread|MainProcess] faiss.loader (loader.py:<module>:156) | Successfully loaded faiss.
[2025-10-03 15:38:24,241.241] WARNING  [MainThread|MainProcess] Config (config.py:create_from_file:322) | 配置文件未找到
[2025-10-03 15:38:24,241.241] ERROR    [MainThread|MainProcess] Config (config.py:load:401) | 加载配置失败: [setting] 配置文件不存在！
[2025-10-03 15:38:45,325.325] WARNING  [MainThread|MainProcess] Config (config.py:create_from_file:322) | 配置文件未找到
[2025-10-03 15:38:45,326.326] ERROR    [MainThread|MainProcess] Config (config.py:load:401) | 加载配置失败: [setting] 配置文件不存在！
[2025-10-03 15:39:51,799.799] WARNING  [MainThread|MainProcess] Config (config.py:create_from_file:322) | 配置文件未找到
[2025-10-03 15:39:51,799.799] ERROR    [MainThread|MainProcess] Config (config.py:load:401) | 加载配置失败: [setting] 配置文件不存在！
[2025-10-03 15:39:51,945.945] INFO     [MainThread|MainProcess] faiss.loader (loader.py:<module>:154) | Loading faiss.
[2025-10-03 15:39:51,974.974] INFO     [MainThread|MainProcess] faiss.loader (loader.py:<module>:156) | Successfully loaded faiss.
[2025-10-03 15:41:28,354.354] WARNING  [MainThread|MainProcess] Config (config.py:create_from_file:322) | 配置文件未找到
[2025-10-03 15:41:28,354.354] ERROR    [MainThread|MainProcess] Config (config.py:load:401) | 加载配置失败: [setting] 配置文件不存在！
[2025-10-03 15:41:28,503.503] INFO     [MainThread|MainProcess] faiss.loader (loader.py:<module>:154) | Loading faiss.
[2025-10-03 15:41:28,534.534] INFO     [MainThread|MainProcess] faiss.loader (loader.py:<module>:156) | Successfully loaded faiss.
